Technique_ID,Technique_Name,Tactic,Priority,Sysmon_Event_IDs,Detection_Method,Coverage_Level,Expected_FP_Rate,Module_File,Notes
T1003,OS Credential Dumping,Credential Access,Critical,"10,9,1,11,13",ProcessAccess + RawAccessRead + ProcessCreate,High,Low,T1003_credential_dumping.xml,LSASS access and credential dumping tools
T1003.001,LSASS Memory,Credential Access,Critical,"10,1,11",ProcessAccess to lsass.exe,High,Low,T1003_credential_dumping.xml,Mimikatz ProcDump comsvcs.dll techniques
T1003.002,Security Account Manager,Credential Access,High,"9,1,11",RawAccessRead + reg.exe save,High,Low,T1003_credential_dumping.xml,SAM/SYSTEM/SECURITY hive access
T1003.003,NTDS,Credential Access,Critical,"1,11",ntdsutil.exe + VSS + file copy,High,Low,T1003_credential_dumping.xml,Domain controller NTDS.dit extraction
T1003.004,LSA Secrets,Credential Access,Medium,13,Registry access to LSA keys,Medium,Low,T1003_credential_dumping.xml,Registry-based credential theft
T1003.005,Cached Domain Credentials,Credential Access,Medium,13,Registry cache access,Medium,Low,T1003_credential_dumping.xml,Cached credentials in registry
T1003.006,DCSync,Credential Access,Critical,"1,3",Mimikatz lsadump::dcsync + network,Medium,Low,T1003_credential_dumping.xml,Requires Windows Event 4662 correlation
T1014,Rootkit,Defense Evasion | Privilege Escalation,High,6,Unsigned driver loads,Medium,Medium,,Driver loading from unusual locations
T1021,Remote Services,Lateral Movement,Critical,"1,3,17,18",ProcessCreate + NetworkConnect + Pipes,High,Medium,T1021_remote_services.xml,PSExec WMI RDP SMB detection
T1021.001,Remote Desktop Protocol,Lateral Movement,High,"1,3",mstsc.exe + network + rdpclip.exe,High,Low,,RDP client/server activity
T1021.002,SMB/Windows Admin Shares,Lateral Movement,High,"3,17,18",Network 445 + named pipes,High,Medium,,PSExec-like lateral movement
T1021.003,Distributed Component Object Model,Lateral Movement,Medium,"1,3",dcomcnfg + DCOM process creation,Medium,Low,,DCOM-based lateral movement
T1021.004,SSH,Lateral Movement,Medium,"1,3",ssh.exe + network port 22,High,Low,,SSH client activity
